date,code,name,turnover_ratio,pe,pb,average_price,money_ratio,circulating_market_cap,average_circulating_market_cap,dividend_ratio
2015-01-30,801750,计算机,2.883,71.44,6.39,32.57,5.88,1030673013900.0,7749421200.0,0.36
2015-01-30,801010,农林牧渔,2.1492,59.01,3.71,13.25,1.89,451998504200.0,5580228400.0,0.43
2015-01-30,801140,轻工制造,2.1434,50.94,2.85,13.25,1.64,357627112900.0,4257465600.0,0.66
2015-01-30,801710,建筑材料,1.6544,20.62,2.21,13.32,1.29,398504450400.0,5947827600.0,1.05
2015-01-30,801050,有色金属,1.6627,50.65,3.29,15.31,3.69,960030875100.0,10000321600.0,0.49
2015-01-30,801160,公用事业,2.4672,21.45,2.66,13.99,5.82,1231199424800.0,11725708800.0,1.38
2015-01-30,801770,通信,1.3897,43.9,3.15,18.65,1.51,451188197100.0,7647257600.0,0.43
2015-01-30,801780,银行,0.3732,6.59,1.17,9.47,5.5,5125599770700.0,320349985700.0,3.55
2015-01-30,801890,机械设备,2.4228,47.65,3.02,17.19,7.4,1395123606700.0,6013463800.0,0.66
2015-02-02,801130,纺织服装,1.7889,33.94,2.77,13.47,1.44,330635288900.0,4238914000.0,1.22
2015-02-02,801720,建筑装饰,1.7812,16.29,2.07,13.77,4.23,940230602000.0,14691103200.0,1.15
2015-02-02,801150,医药生物,1.2986,40.94,4.55,26.3,4.59,1659584044300.0,8734652900.0,0.62
2015-02-02,801110,家用电器,2.516,15.04,2.86,17.13,2.23,509760660200.0,9618125700.0,2.06
2015-02-02,801080,电子,1.8515,57.21,3.6,19.31,3.25,779710010000.0,5490915600.0,0.41
2015-02-02,801760,传媒,1.7951,60.87,5.78,34.93,3.35,705879204600.0,11029362600.0,0.33
2015-02-02,801740,国防军工,2.0315,112.23,4.13,25.15,2.44,606124261000.0,20900836600.0,0.18
2015-02-02,801210,休闲服务,1.4906,59.45,4.34,20.48,0.52,175840087800.0,5328487500.0,0.39
2015-02-02,801040,钢铁,1.4346,46.64,1.46,7.28,1.8,531092454600.0,16093710700.0,0.54
2015-02-02,801170,交通运输,1.0196,23.84,2.03,10.74,3.82,1275518691900.0,14831612700.0,1.43
2015-02-02,801230,综合,1.8071,53.67,3.83,11.97,1.09,260961012100.0,4923792700.0,0.26
2015-02-02,801020,采掘,0.398,24.94,1.7,10.47,1.88,2717591060300.0,43136366000.0,1.56
2015-02-02,801790,非银金融,2.1784,31.22,3.12,21.41,13.15,2958146973200.0,82170749300.0,0.6
2015-02-02,801880,汽车,1.0484,18.99,2.59,16.38,2.28,1058728918800.0,9988008700.0,1.38
2015-02-02,801120,食品饮料,1.357,23.88,3.67,21.69,1.99,889617117500.0,13082604700.0,1.83
2015-02-02,801730,电气设备,1.9181,46.09,3.44,16.8,3.82,914980647200.0,6224358100.0,0.58
2015-02-02,801200,商业贸易,2.1014,33.36,2.79,12.21,3.12,685257412000.0,7138098000.0,0.85
2015-02-02,801030,化工,1.2758,34.96,2.78,13.86,5.75,1761172462700.0,7188459000.0,0.79
2015-02-02,801180,房地产,1.6155,18.77,2.37,10.79,5.64,1524598915000.0,10587492500.0,1.25
2015-02-02,801750,计算机,2.4054,72.59,6.5,33.18,5.3,1048483135600.0,7883331800.0,0.35
2015-02-02,801010,农林牧渔,2.9995,58.36,3.67,13.18,2.93,445543743800.0,5500540000.0,0.44
2015-02-02,801140,轻工制造,1.9841,50.74,2.84,13.24,1.63,356850084400.0,4248215300.0,0.66
2015-02-02,801710,建筑材料,1.3041,20.35,2.18,13.18,1.05,392914199700.0,5864391000.0,1.07
2015-02-02,801050,有色金属,1.5362,50.19,3.26,15.23,3.6,949812823400.0,9893883600.0,0.5
2015-02-02,801160,公用事业,1.7191,20.88,2.59,13.78,4.49,1194513610500.0,11376320100.0,1.42
2015-02-02,801770,通信,1.2944,43.87,3.15,18.76,1.6,449467293100.0,7618089700.0,0.43
2015-02-02,801780,银行,0.4571,6.38,1.14,9.2,6.65,4937154921700.0,308572182600.0,3.66
2015-02-02,801890,机械设备,1.9844,46.67,2.96,17.21,6.35,1356122865100.0,5820269800.0,0.68
2015-02-03,801130,纺织服装,1.7149,34.43,2.81,14.07,1.33,336596079100.0,4260709900.0,1.2
2015-02-03,801720,建筑装饰,1.7612,16.71,2.12,14.0,3.67,965431548300.0,15084867900.0,1.12
2015-02-03,801150,医药生物,1.4497,41.44,4.61,26.66,4.61,1678893888700.0,8836283600.0,0.62
2015-02-03,801110,家用电器,2.1161,15.24,2.9,17.44,1.79,516484812000.0,9744996500.0,2.03
2015-02-03,801080,电子,2.4181,58.46,3.68,19.8,4.22,796304517800.0,5607778300.0,0.4
2015-02-03,801760,传媒,2.291,62.58,5.94,36.08,4.07,724282640100.0,11316916300.0,0.33
2015-02-03,801740,国防军工,2.3378,113.29,4.17,25.45,2.87,611125517700.0,21073293700.0,0.18
2015-02-03,801210,休闲服务,2.7104,60.12,4.38,20.69,0.71,177569303900.0,5380888000.0,0.38
2015-02-03,801040,钢铁,0.9715,47.03,1.47,7.34,1.17,536602745300.0,16260689300.0,0.54
2015-02-03,801170,交通运输,0.976,24.29,2.06,11.07,3.15,1296143168800.0,15071432200.0,1.4
2015-02-03,801230,综合,1.7137,54.57,3.9,12.12,0.98,265261501200.0,5004934000.0,0.26
2015-02-03,801020,采掘,0.423,25.63,1.74,10.7,2.02,2816510802600.0,44706520700.0,1.51
2015-02-03,801790,非银金融,2.6974,32.66,3.26,22.24,15.57,3120533793900.0,86681494300.0,0.57
2015-02-03,801880,汽车,1.2409,19.38,2.63,16.64,2.38,1081997811300.0,10207526500.0,1.35
2015-02-03,801120,食品饮料,1.2258,24.2,3.72,21.97,1.69,902478345500.0,13271740400.0,1.81
2015-02-03,801730,电气设备,1.7196,46.72,3.48,17.05,3.22,928222051100.0,6314435700.0,0.57
2015-02-03,801200,商业贸易,2.3338,34.28,2.86,12.43,3.18,702868701900.0,7321549000.0,0.83
2015-02-03,801030,化工,1.3969,35.51,2.83,14.14,5.76,1794281738000.0,7293828200.0,0.77
2015-02-03,801180,房地产,1.66,18.93,2.39,10.9,5.27,1538168977900.0,10681729000.0,1.24
2015-02-03,801750,计算机,3.7224,75.47,6.76,34.65,7.86,1092182664400.0,8211899700.0,0.34
